,number,value,datetime_start,datetime_complete,duration,params_q_con,params_q_u_yaw_rate,params_qt_pos_high,params_qt_s_high,state
59,59,21.046606063842773,2025-02-19 19:58:50.709572,2025-02-19 19:59:12.835311,0 days 00:00:22.125739,0.0866981916768247,0.003565242991628403,0.3658293877604446,6.033224730687,COMPLETE
60,60,21.04923105239868,2025-02-19 19:59:12.856634,2025-02-19 19:59:34.941082,0 days 00:00:22.084448,0.024588581787401767,0.0036527886263892444,0.21174817477656635,8.917164673734575,COMPLETE
61,61,21.346428394317627,2025-02-19 19:59:34.962096,2025-02-19 19:59:57.336708,0 days 00:00:22.374612,0.018563408408081804,0.003850224148633376,0.22842045480198772,3.8173487913303723,COMPLETE
62,62,21.329020738601685,2025-02-19 19:59:57.358166,2025-02-19 20:00:19.716391,0 days 00:00:22.358225,0.028273536155555532,0.0018289470390539986,0.2983379877528312,8.489695323539024,COMPLETE
63,63,21.38401508331299,2025-02-19 20:00:19.738457,2025-02-19 20:00:42.197053,0 days 00:00:22.458596,0.01117865227694261,0.003521642775775914,0.19906563453470838,12.528996260805746,COMPLETE
64,64,21.134878635406494,2025-02-19 20:00:42.217728,2025-02-19 20:01:04.385406,0 days 00:00:22.167678,0.08236808858383877,0.0023960946587974633,0.139687016075806,17.63286529571919,COMPLETE
65,65,21.452590703964233,2025-02-19 20:01:04.405601,2025-02-19 20:01:26.980907,0 days 00:00:22.575306,0.5416132412976303,0.005683373583929444,0.4051946406987732,9.260557005533508,COMPLETE
66,66,21.151599645614624,2025-02-19 20:01:27.004153,2025-02-19 20:01:49.233796,0 days 00:00:22.229643,0.0574888978183832,0.003584520175212813,0.2930265929338124,6.626818453635348,COMPLETE
67,67,21.192046880722046,2025-02-19 20:01:49.253645,2025-02-19 20:02:11.519309,0 days 00:00:22.265664,0.042893781143173035,0.00852254741219185,0.07242515811977743,11.856415577413298,COMPLETE
68,68,21.93156337738037,2025-02-19 20:02:11.539422,2025-02-19 20:02:34.499206,0 days 00:00:22.959784,0.0652725408556895,0.004471108155509967,0.12740822741631977,15.420517199345532,COMPLETE
